1757338628.642061 server started (19022): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1757338628.642099 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:40 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T6041
1757338628.642108 using libevent 2.1.12-stable select
1757338628.642120 using utf8proc 2.10.0
1757338628.642127 using ncurses 6.5 20240427
1757338628.642201 input_key_build: 0x10e003 (PasteStart) is \033[200~
1757338628.642210 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1757338628.642230 input_key_build: 0x10e195 (F1) is \033OP
1757338628.642236 input_key_build: 0x10e196 (F2) is \033OQ
1757338628.642242 input_key_build: 0x10e197 (F3) is \033OR
1757338628.642247 input_key_build: 0x10e198 (F4) is \033OS
1757338628.642252 input_key_build: 0x10e199 (F5) is \033[15~
1757338628.642258 input_key_build: 0x10e19a (F6) is \033[17~
1757338628.642262 input_key_build: 0x10e19b (F7) is \033[18~
1757338628.642267 input_key_build: 0x10e19c (F8) is \033[19~
1757338628.642272 input_key_build: 0x10e19d (F9) is \033[20~
1757338628.642276 input_key_build: 0x10e19e (F10) is \033[21~
1757338628.642281 input_key_build: 0x10e19f (F11) is \033[23~
1757338628.642286 input_key_build: 0x10e1a0 (F12) is \033[24~
1757338628.642290 input_key_build: 0x10e1a1 (IC) is \033[2~
1757338628.642295 input_key_build: 0x10e1a2 (DC) is \033[3~
1757338628.642299 input_key_build: 0x10e1a3 (Home) is \033[1~
1757338628.642304 input_key_build: 0x10e1a4 (End) is \033[4~
1757338628.642308 input_key_build: 0x10e1a5 (NPage) is \033[6~
1757338628.642313 input_key_build: 0x10e1a6 (PPage) is \033[5~
1757338628.642318 input_key_build: 0x10e1a7 (BTab) is \033[Z
1757338628.642324 input_key_build: 0x10e1a8 (Up) is \033[A
1757338628.642329 input_key_build: 0x10e1a9 (Down) is \033[B
1757338628.642334 input_key_build: 0x10e1aa (Left) is \033[D
1757338628.642338 input_key_build: 0x10e1ab (Right) is \033[C
1757338628.642343 input_key_build: 0x10e1ac (KP/) is /
1757338628.642348 input_key_build: 0x10e1ad (KP*) is *
1757338628.642352 input_key_build: 0x10e1ae (KP-) is -
1757338628.642357 input_key_build: 0x10e1af (KP7) is 7
1757338628.642361 input_key_build: 0x10e1b0 (KP8) is 8
1757338628.642366 input_key_build: 0x10e1b1 (KP9) is 9
1757338628.642371 input_key_build: 0x10e1b2 (KP+) is +
1757338628.642375 input_key_build: 0x10e1b3 (KP4) is 4
1757338628.642379 input_key_build: 0x10e1b4 (KP5) is 5
1757338628.642384 input_key_build: 0x10e1b5 (KP6) is 6
1757338628.642389 input_key_build: 0x10e1b6 (KP1) is 1
1757338628.642393 input_key_build: 0x10e1b7 (KP2) is 2
1757338628.642398 input_key_build: 0x10e1b8 (KP3) is 3
1757338628.642402 input_key_build: 0x10e1b9 (KPEnter) is \n
1757338628.642407 input_key_build: 0x10e1ba (KP0) is 0
1757338628.642411 input_key_build: 0x10e1bb (KP.) is .
